sku,popularity_rank
MSERBLI02,41.5
MSERBLO01,34.7
MSERCAN01,52.1
MSERCHA03,4.2
MSERCOS02,81.4
MSEREAR02,89.7
MSEREMB01,35.0
MSEREXO01,96.5
MSERFLI02,76.5
MSERINF01,40.5
MSERMID01,98.1
MSERMOT01,40.2
MSERNOV01,91.0
MSEROCE01,91.3
MSERORB01,92.9
MSERPEA01,56.6
MSERPUL01,66.6
MSERPYR02,53.7
MSERRAS02,4.2
MSERRID01,32.8
MSERROS01,74.6
MSERSAN04,54.7
MSERSMARI02,97.7
MSERSMBLO01,34.7
MSERSMCOS02,81.4
MSERSMEAR02,89.7
MSERSMEMB01,35.0
MSERSMEXO02,96.5
MSERSMJET02,97.4
MSERSMLUM02,94.9
MSERSMOCE01,91.3
MSERSMORB02,92.9
MSERSMSAN02,54.7
MSERSMSOL02,89.4
MSERSMSPE01,20.9
MSERSMSTR01,71.4
MSERSOL02,89.4
MSERSPE01,20.9
MSERSTR01,71.4
MSERTRA02,2.6
MSERUMB01,3.5
MSERVER02,5.1
MSERWIN01,4.5
MSERZIB02,10.0
MSHIRLSIERAUR01,49.8
MSHIRLSIERCOA01,52.7
MSHIRLSIERNEP01,27.7
MSHIRLSIERSAG01,20.6
MSHIRLSIERSHR01,17.0
MSHIRLSIERSLA01,10.9
MSHIRMSIERAUR01,49.8
MSHIRMSIERCOA01,52.7
MSHIRMSIERNEP01,27.7
MSHIRMSIERSHR01,17.0
MSHIRMSIERSLA01,10.9
MSHIRSSIERAUR01,49.8
MSHIRSSIERCOA01,52.7
MSHIRSSIERNEP01,27.7
MSHIRSSIERSAG01,20.6
MSHIRSSIERSHR01,17.0
MSHIRXLSIERAUR01,49.8
MSHIRXLSIERCOA01,52.7
MSHIRXSSIERAUR01,49.8
MSHIRXSSIERCHA01,13.2
MSHIRXSSIERCOA01,52.7
MSHIRXSSIERNEP01,27.7
MSHIRXSSIERSAG01,20.6
MSHIVELCOBS01,16.7
MSHIVELCOBXS01,16.7
MSHIVELGREL01,81.7
MSHIVELGREM01,81.7
MSHIVELGRENL01,84.2
MSHIVELGRENM01,84.2
MSHIVELGRENS01,84.2
MSHIVELGRENXL01,84.2
MSHIVELGRES01,81.7
MSHIVELGREXL01,81.7
MSHIVELGREXS01,81.7
MSHIVELWHIL01,70.7
MSHIVELWHIM01,70.7
MSHIVELWHIS01,70.7
MSHIVELWHIXL01,70.7
MSINGLSIEREMB01,29.3
MSINGLSIERMOS01,9.6
MSINGLSIERNEP01,22.2
MSINGMSIERMOS01,9.6
MSINGMSIERNEP01,22.2
MSINGMSIERSLA01,10.3
MSINGSSIEREMB01,29.3
MSINGSSIERNEP01,22.2
MSINGSSIERTUO01,11.3
MSINGXLSIEREMB01,29.3
MSINGXSSIEREMB01,29.3
MSINGXSSIERSLA01,10.3
MSINVELATTL01,39.9
MSINVELATTM01,39.9
MSINVELATTS01,39.9
MSINVELATTXL01,39.9
MSINVELATTXS01,39.9
MSINVELBUTL01,46.9
MSINVELBUTM01,46.9
MSINVELBUTS01,46.9
MSINVELBUTXL01,46.9
MSINVELCHAL01,33.8
MSINVELCHAM01,33.8
MSINVELCHAS01,33.8
MSINVELCHAXL01,33.8
MSINVELCHAXS01,33.8
MSINVELCOBL01,37.3
MSINVELCOBM01,37.3
MSINVELCOBS02,2.9
MSINVELCOBXL01,37.3
MSINVELFLIL01,87.5
MSINVELFLIM01,87.5
MSINVELFLIS01,87.5
MSINVELFLIXL01,87.5
MSINVELFLIXS01,87.5
MSINVELGREL01,70.1
MSINVELGREM01,70.1
MSINVELGRES01,70.1
MSINVELGREXL01,70.1
MSINVELGREXS01,70.1
MSINVELWHIL01,26.0
MSINVELWHIS01,26.0
MSINVELWHIXL01,26.0
RSERCOB02,78.8
RSERGRE02,58.5
RSERPOL01,85.9
RSERQUA01,38.6
RSERSYN01,5.5
RSERTAL01,90.0
SHIRTMLBLA01,59.8
SHIRTMMBLA01,59.8
SHIRTMSBLA01,59.8
SHIRTMXSBLA01,59.8
SHIRTMXSOLI01,15.4
SHIRTMXSTEA01,8.4
SHIRTWLLIL01,53.1
SHIRTWMBLA01,36.7
SHIRTWMLIL01,53.1
SHIRTWSBLA01,36.7
SHIRTWSLIL01,53.1
SHIRTWSLIM01,7.1
SHIRTWXLLIL01,53.1
SHIRTWXSBLA01,36.7
SHIRTWXSLIL01,53.1
SINGLMREF01,72.3
SINGLWREF01,60.1
SINGLWREF01old,18.3
SINGMLBLA01,67.5
SINGMMBLA01,67.5
SINGMMREF01,72.3
SINGMSBLA01,67.5
SINGMWREF01,60.1
SINGMWREF01old,18.3
SINGMXSBLA01,67.5
SINGSMREF01,72.3
SINGSWREF01,60.1
SINGWLBLA01,32.2
SINGWMBLA01,32.2
SINGWSBLA01,32.2
SINGWXLBLA01,32.2
SINGWXLVEL01,12.5
SINGWXSBLA01,32.2
SINGXLMREF01,72.3
SINGXLWREF01old,18.3
SINGXSMREF01,72.3
SINGXSMREF01old,8.7
SINGXSWREF01,60.1
SINGXXLMEL01A,7.4
SOCBLAL01,69.8
SOCBLAS01,69.8
SOCBUTL01,13.5
SOCBUTS01,13.5
SOCCHAL01,7.7
SOCCHAS01,7.7
SOCWHIL01,73.3
SOCWHIS01,73.3
TSERSTDDRI01,16.4
TSERSTDPAT01,1.3
TSERSTDSIE01,74.3
TSERSTDSTE01,93.2
TSERSTDTAW01,19.3
TSERSTDVOI01,82.6
TSERSTDWAT01,64.3
TSERXLASIE01,74.3
TSERXLASTE01,93.2
TSERXLATAW01,19.3
TSERXLAVOI01,82.6
TSERXLAWAT01,64.3
U-BKT-B-BLAC-SM,92.0
U-BKT-B-BLAC-XL,92.0
U-BKT-B-WHIT-SM,95.2
U-BKT-B-WHIT-XL,95.2
U-BKT-B-WWR-SM,50.2
U-BKT-B-WWR-XL,50.2
U-BKT-ECHO-SM,74.0
U-BKT-ECHO-XL,74.0
U-BKT-LYON-SM,83.9
U-BKT-LYON-XL,83.9
U-BKT-SAPW-SM,78.1
U-BKT-SAPW-XL,78.1
U-BNI-B-ATLA-OS,64.6
U-BNI-B-FORE-OS,69.1
U-BNI-B-INFE-OS,65.6
U-BNI-B-JET-OS,68.5
U-CAP-C-COAS-56,57.9
U-CAP-C-ROSE-56,57.6
U-CAP-C-SAND-56,47.6
U-CAP-CP-JET-56,14.1
U-CAP-CP-MESA-56,50.8
U-CAP-CP-RIDG-56,59.5
U-CAP-E-GAMB-54,68.8
U-CAP-E-SHER-54,40.8
U-CAP-E-UNFU-54,65.0
U-CAP-E-WWR-54,44.4
U-CAP-ECHO-54,47.9
U-CAP-ECHO-58,55.6
U-CAP-GOVE-58,30.5
U-CAP-HEAR-58,63.7
U-CAP-LYON-54,62.7
U-CAP-LYON-58,84.9
U-CAP-M-CANO-58,51.4
U-CAP-M-DIRT-58,63.3
U-CAP-M-HEAR-56,49.5
U-CAP-M-HEAR-58,49.5
U-CAP-M-OSSA-58,78.5
U-CAP-M-PHAS-58,53.4
U-CAP-MEEK-58,62.1
U-CAP-R-GAMB-58,81.0
U-CAP-R-GOLD-58,76.2
U-CAP-R-MELB-58,83.3
U-CAP-R-SUNN-58,85.5
U-CAP-R-SUNS-58,20.3
U-CAP-R-SYDN-58,82.0
U-CAP-RAYS-54,45.0
U-CAP-SAPW-58,68.2
U-CLRD-ECHO-M,19.0
U-CLRD-ECHO-S,19.0
U-CLRD-ECHO-XS,19.0
U-CLRD-ROCK-L,86.5
U-CLRD-ROCK-M,86.5
U-CLRD-ROCK-S,86.5
U-CLRD-ROCK-XL,86.5
U-CLRD-ROCK-XS,86.5
U-CLRD-S-RIDG-L,75.6
U-CLRD-S-RIDG-M,75.6
U-CLRD-S-RIDG-S,75.6
U-CLRD-S-RIDG-XL,75.6
U-CLRD-S-RIDG-XS,75.6
U-CLRD-S-SAHA-L,72.7
U-CLRD-S-SAHA-M,72.7
U-CLRD-S-SAHA-S,72.7
U-CLRD-S-SAHA-XL,72.7
U-CLRD-S-SAHA-XS,72.7
U-CLRD-SAPW-L,38.3
U-CLRD-SAPW-M,38.3
U-CLRD-SAPW-S,38.3
U-CLRD-SAPW-XL,38.3
U-LGN-COUG-SM,89.1
U-LGN-COUG-XL,89.1
U-LGN-ECHO-SM,64.0
U-LGN-ECHO-XL,64.0
U-LGN-L-JET-SM,99.4
U-LGN-L-JET-SMH,99.4
U-LGN-L-JET-XL,99.4
U-LGN-MEEK-SM,93.6
U-LGN-MEEK-XL,93.6
U-SCK-COUG-SM,41.8
U-SCK-COUG-XL,41.8
U-SCK-ECHO-SM,54.3
U-SCK-ECHO-XL,54.3
U-SCK-GOVE-SM,56.3
U-SCK-GOVE-XL,56.3
U-SCK-LYON-L/XL,58.8
U-SCK-LYON-LXL,58.8
U-SCK-LYON-S/M,58.8
U-SCK-LYON-SM,58.8
U-SCK-LYON-XL,58.8
U-SCK-SAPW-SM,57.2
U-SCK-SAPW-XL,57.2
U-SCK-V-GAMB-SM,74.9
U-SCK-V-GAMB-XL,74.9
U-SCK-V-UNFU-SM,55.9
U-SCK-V-UNFU-XL,55.9
U-SHIRT-CT-ASH-L,35.4
U-SHIRT-CT-ASH-M,35.4
U-SHIRT-CT-ASH-S,35.4
U-SHIRT-CT-ASH-XL,35.4
U-SHIRT-CT-ASH-XS,35.4
U-SHIRT-CT-JET-L,29.6
U-SHIRT-CT-JET-M,29.6
U-SHIRT-CT-JET-S,29.6
